source,digits
../debug_output/IMG_4901/card_0/cells/row0_col0.jpg,12
../debug_output/IMG_4901/card_0/cells/row0_col1.jpg,23
../debug_output/IMG_4901/card_0/cells/row0_col2.jpg,33
../debug_output/IMG_4901/card_0/cells/row0_col3.jpg,53
../debug_output/IMG_4901/card_0/cells/row0_col4.jpg,65
../debug_output/IMG_4901/card_0/cells/row1_col0.jpg,9
../debug_output/IMG_4901/card_0/cells/row1_col1.jpg,24
../debug_output/IMG_4901/card_0/cells/row1_col2.jpg,42
../debug_output/IMG_4901/card_0/cells/row1_col3.jpg,52
../debug_output/IMG_4901/card_0/cells/row1_col4.jpg,74
../debug_output/IMG_4901/card_0/cells/row2_col0.jpg,2
../debug_output/IMG_4901/card_0/cells/row2_col1.jpg,28
../debug_output/IMG_4952a/card_1/cells/row4_col4.jpg,61
../debug_output/IMG_4944a/card_0/cells/row3_col1.jpg,18
../debug_output/IMG_4958/card_1/cells/row0_col2.jpg,40
../debug_output/IMG_4959/card_1/cells/row3_col3.jpg,49
../debug_output/IMG_4901/card_0/cells/row4_col2.jpg,36
../debug_output/IMG_4904/card_0/cells/row0_col2.jpg,32
../debug_output/IMG_4944a/card_1/cells/row3_col0.jpg,9
../debug_output/IMG_4948/card_0/cells/row1_col3.jpg,53
../debug_output/IMG_4943a/card_1/cells/row4_col4.jpg,66
../debug_output/IMG_4913/card_1/cells/row0_col2.jpg,33
../debug_output/IMG_4959/card_0/cells/row0_col1.jpg,27
../debug_output/IMG_4904/card_1/cells/row2_col3.jpg,51
../debug_output/IMG_4944a/card_0/cells/row2_col1.jpg,23
../debug_output/IMG_4957/card_1/cells/row1_col0.jpg,15
../debug_output/IMG_4943/card_1/cells/row1_col4.jpg,66
../debug_output/IMG_4957a/card_0/cells/row2_col1.jpg,19
../debug_output/IMG_4952/card_1/cells/row4_col4.jpg,70
../debug_output/IMG_4944/card_1/cells/row1_col3.jpg,51
../debug_output/IMG_4952/card_0/cells/row3_col3.jpg,51
../debug_output/IMG_4957/card_1/cells/row4_col2.jpg,44
../debug_output/IMG_4943a/card_1/cells/row4_col2.jpg,34
../debug_output/IMG_4943/card_1/cells/row4_col3.jpg,49
../debug_output/IMG_4906/card_0/cells/row0_col0.jpg,5
../debug_output/IMG_4949/card_1/cells/row0_col2.jpg,43
../debug_output/IMG_4912/card_1/cells/row2_col4.jpg,66
../debug_output/IMG_4948a/card_0/cells/row4_col4.jpg,63
../debug_output/IMG_4909/card_0/cells/row1_col4.jpg,61
../debug_output/IMG_4943a/card_0/cells/row0_col3.jpg,50
../debug_output/IMG_4943/card_1/cells/row4_col1.jpg,24
../debug_output/IMG_4957/card_0/cells/row0_col2.jpg,31
../debug_output/IMG_4947a/card_1/cells/row4_col2.jpg,33
../debug_output/IMG_4947a/card_1/cells/row2_col1.jpg,24
../debug_output/IMG_4952/card_1/cells/row2_col1.jpg,30
../debug_output/IMG_4957/card_1/cells/row4_col4.jpg,74
../debug_output/IMG_4947a/card_0/cells/row1_col1.jpg,27
../debug_output/IMG_4912/card_1/cells/row4_col2.jpg,44
../debug_output/IMG_4958/card_0/cells/row2_col4.jpg,67
../debug_output/IMG_4947a/card_0/cells/row4_col4.jpg,62
../debug_output/IMG_4951/card_1/cells/row3_col3.jpg,50
../debug_output/IMG_4903/card_0/cells/row0_col1.jpg,21
../debug_output/IMG_4943/card_0/cells/row2_col1.jpg,26
../debug_output/IMG_4903/card_0/cells/row4_col1.jpg,27
../debug_output/IMG_4905/card_1/cells/row3_col0.jpg,5
../debug_output/IMG_4951a/card_1/cells/row1_col1.jpg,16
../debug_output/IMG_6196/card_0/cells/row1_col4.jpg,70
../debug_output/IMG_4951/card_1/cells/row2_col3.jpg,46
../debug_output/IMG_4904/card_0/cells/row3_col3.jpg,58
../debug_output/IMG_4952a/card_1/cells/row1_col1.jpg,24
../debug_output/IMG_4948/card_1/cells/row2_col4.jpg,67
../debug_output/IMG_4913/card_1/cells/row2_col0.jpg,7
../debug_output/IMG_6196/card_0/cells/row3_col4.jpg,75
../debug_output/IMG_4943/card_1/cells/row2_col4.jpg,62
../debug_output/IMG_4957a/card_1/cells/row1_col4.jpg,69
../debug_output/IMG_4904/card_1/cells/row3_col0.jpg,13
../debug_output/IMG_4952/card_1/cells/row0_col4.jpg,68
../debug_output/IMG_4947/card_1/cells/row1_col3.jpg,50
../debug_output/IMG_4952a/card_0/cells/row4_col3.jpg,47
../debug_output/IMG_4944/card_0/cells/row0_col4.jpg,69
../debug_output/IMG_4902/card_0/cells/row1_col3.jpg,52
../debug_output/IMG_4904/card_0/cells/row3_col1.jpg,18
../debug_output/IMG_4944/card_1/cells/row0_col4.jpg,63
../debug_output/IMG_4944a/card_1/cells/row4_col1.jpg,30
../debug_output/IMG_4958a/card_1/cells/row3_col4.jpg,69
../debug_output/IMG_4912/card_1/cells/row3_col3.jpg,59
../debug_output/IMG_4951a/card_1/cells/row1_col2.jpg,39
../debug_output/IMG_4904/card_1/cells/row2_col4.jpg,74
../debug_output/IMG_4905/card_1/cells/row2_col4.jpg,62
../debug_output/IMG_4913/card_1/cells/row3_col2.jpg,36
../debug_output/IMG_4951/card_1/cells/row0_col1.jpg,30
../debug_output/IMG_4949/card_0/cells/row0_col0.jpg,15
../debug_output/IMG_4944/card_0/cells/row1_col0.jpg,6
../debug_output/IMG_4947/card_1/cells/row3_col0.jpg,6
../debug_output/IMG_4951/card_1/cells/row4_col4.jpg,75
../debug_output/IMG_4952a/card_0/cells/row2_col3.jpg,53
../debug_output/IMG_4912/card_0/cells/row4_col2.jpg,36
../debug_output/IMG_4947a/card_0/cells/row1_col2.jpg,37
../debug_output/IMG_4912/card_1/cells/row3_col4.jpg,72
../debug_output/IMG_4947/card_1/cells/row0_col2.jpg,31
../debug_output/IMG_4903/card_1/cells/row2_col3.jpg,47
../debug_output/IMG_4913/card_0/cells/row3_col1.jpg,26
../debug_output/IMG_4948/card_1/cells/row1_col1.jpg,29
../debug_output/IMG_4901/card_0/cells/row3_col1.jpg,19
../debug_output/IMG_4947/card_1/cells/row2_col1.jpg,22
../debug_output/IMG_4952a/card_0/cells/row3_col2.jpg,44
../debug_output/IMG_4959/card_1/cells/row0_col0.jpg,4
../debug_output/IMG_4951a/card_1/cells/row4_col3.jpg,60
../debug_output/IMG_4913/card_1/cells/row4_col3.jpg,59
../debug_output/IMG_4948/card_1/cells/row2_col1.jpg,21
../debug_output/IMG_4944a/card_1/cells/row1_col4.jpg,72
../debug_output/IMG_4944/card_1/cells/row4_col4.jpg,72
../debug_output/IMG_4943/card_1/cells/row3_col4.jpg,75
../debug_output/IMG_4949/card_0/cells/row2_col4.jpg,69
../debug_output/IMG_4949/card_0/cells/row1_col2.jpg,31
../debug_output/IMG_4958a/card_1/cells/row0_col3.jpg,57
../debug_output/IMG_4949/card_0/cells/row3_col0.jpg,3
../debug_output/IMG_4905/card_0/cells/row2_col4.jpg,74
../debug_output/IMG_4912/card_1/cells/row2_col3.jpg,52
../debug_output/IMG_4944a/card_1/cells/row4_col2.jpg,34
../debug_output/IMG_4943a/card_0/cells/row0_col0.jpg,9
../debug_output/IMG_4943/card_1/cells/row3_col3.jpg,60
../debug_output/IMG_4957/card_1/cells/row3_col2.jpg,43
../debug_output/IMG_4948/card_1/cells/row4_col4.jpg,62
../debug_output/IMG_4944a/card_1/cells/row0_col3.jpg,50
../debug_output/IMG_4951/card_1/cells/row1_col3.jpg,52
../debug_output/IMG_4948a/card_1/cells/row2_col0.jpg,3
../debug_output/IMG_4957a/card_1/cells/row3_col3.jpg,52
